Country;Region;Owner;Variety;Number of bags;Bag weight;Aroma;Acidity;Sweetness;Total score;Price
Mexico;zentla;eric jesus cordoba arroyo;Typica;50;200;7.42;7.17;10;79.33;4.074726626
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.17;7.25;10;79.33;4.304401942
United States;chikmagalur;andrew hetzel;Arusha;100;200;7.92;7.42;7.58;79.33;4.340505417
Cote d?Ivoire;cnra station of divo;rre kunene;Other;2;200;7.42;7;10;79.33;3.787905428
Mexico;la concordia;armando luis pohlenz martinez;Caturra;250;200;7.25;7.25;10;79.5;3.528951862
Mexico;coatepec, coatepec;mario jose fernandez;Typica;127;200;7.25;7.25;10;79.5;3.726204123
Mexico;tepetzingo;obed rendon ponce;Typica;50;200;7.08;7.33;10;79.58;3.501054207
Mexico;la concordia;armando luis pohlenz martinez;Caturra;250;200;7.25;7.33;10;79.58;3.619404625
Mexico;tenango de doria, hidalgo;saul m. hernandez ramirez;Caturra;10;200;7.33;6.75;10;79.67;3.850747206
Mexico;coatepec, coatepec;alfredo bojalil;Mundo Novo;253;200;6.92;7.17;10;79.67;4.227918246
Thailand;thailand;doi tung development project;Other;1;200;6.92;7.42;10;79.67;3.474161524
Mexico;la concordia, chiapas;fredy gordillo reyes;Typica;310;200;7.42;7.58;10;79.67;3.470002376
Mexico;zaragoza itundujia;israel eduardo paz garcia;Bourbon;12;200;7.25;7.08;10;79.75;4.374887888
Mexico;pochutla;alfredo bojalil;Typica;250;200;7.33;7.08;10;79.75;3.992126121
Mexico;tuxtla gutierrez;montegrande;Typica;36;200;7.25;7.08;10;79.75;4.028035471
Thailand;thailand;doi tung development project;Other;1;200;7.25;7.5;10;79.75;3.838435442
Mexico;la concordia, chiapas;fredy gordillo reyes;Typica;310;200;7.58;7;10;79.75;3.835007125
Mexico;chiapas;leonides de la cruz lopez;Bourbon;275;200;7.58;7.58;10;79.75;4.428930645
Mexico;chiapas;calixto guillen vazquez;Bourbon;380;200;7.25;7.17;10;79.75;4.252495139
Mexico;veracruz;sergio de la vequia bernardi;Typica;250;200;7.17;7.25;10;79.83;3.695733774
Mexico;motozintla, chiapas;alejandro garcia palacios;Other;10;200;7.17;7.25;10;79.92;4.378437658
Mexico;veracruz;christina dusing;Bourbon;82;200;7.5;7.17;10;79.92;4.003453903
Mexico;jaltenango;montegrande;Catuai;250;200;7.17;7.08;10;79.92;4.354985088
Mexico;coatepec;pablo enrique martinez gama;Typica;100;200;7.33;7.42;10;79.92;3.703543988
Mexico;chiapas;calixto guillen vazquez;Bourbon;400;200;7.33;7.33;10;79.92;3.684532546
Thailand;thailand;doi tung development project;Other;2;200;7.33;7.42;10;80;3.732149785
Mexico;coatepec;pablo enrique martinez gama;Typica;20;200;7.25;7.17;10;80;3.570890131
Mexico;san miguel del puerto;semiramis casas velazquez;Other;256;200;7.08;7.33;10;80;4.080157165
Mexico;zaragoza itundujia;israel eduardo paz garcia;Typica;13;200;7.33;7.08;10;80.08;3.741789567
Mexico;escuitla;federico pacheco perez;Typica;10;200;7.25;7.17;10;80.08;3.597781439
Mexico;zaragoza itundujia;israel eduardo paz garcia;Typica;15;200;7.58;7.5;10;80.17;4.442545221
Mexico;veracruz;marco virgilio ramirez teliz;Bourbon;15;200;7.33;7.08;10;80.17;4.289384655
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.33;7.33;10;80.17;3.438180877
Honduras;marcala;cadexsa;Catuai;275;200;7.25;7.17;10;80.17;4.038263058
Guatemala;oriente;the coffee source inc.;Caturra;250;200;7;7.33;10;80.25;3.770387697
Mexico;calnali, hidalgo;saul m. hernandez ramirez;Caturra;10;200;7.58;7.25;10;80.25;4.382264317
Mexico;pochutla;alfredo bojalil;Typica;250;200;6.92;7.5;10;80.42;3.695304065
Mexico;la concordia;armando luis pohlenz martinez;Caturra;250;200;7.42;7.33;10;80.42;3.820975652
Mexico;zaragoza itundujia;israel eduardo paz garcia;Typica;18;200;7.25;7.33;10;80.5;3.52615552
Guatemala;huehuetenango;juan luis alvarado romero;Bourbon;250;200;7.5;7.67;10;80.5;4.348517073
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7;7.33;10;80.67;4.440889183
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7;7.17;10;80.67;3.562087383
Mexico;el desmoronado, talpan de allende jalisco;cafe de don balbino s.c. de r.l. de c.v.;Typica;20;200;7.25;7.25;10;80.67;3.40485021
Costa Rica;tarrazu;ceca, s.a.;Caturra;240;200;7.83;7.67;10;80.67;4.179598441
Mexico;oaxaca;diego manuel woolrich ramirez;Typica;30;200;7.58;7.25;10;80.75;4.181757183
Honduras;siguatepeque, comayagua;bismarck castro;Caturra;275;200;7.5;7.42;10;80.75;4.288190113
Honduras;marcala;cadexsa;Catuai;275;200;7.42;7.42;10;80.75;3.959886479
Mexico;motozintla;luis roberto fermoso beltran;Catuai;15;200;7.17;7.42;10;80.83;4.010184548
Mexico;veracruz;christina dusing;Bourbon;100;200;7.5;7.25;10;80.83;3.700755639
Guatemala;orient;the coffee source inc.;Caturra;250;200;7.67;7.33;10;80.83;4.018779067
Mexico;ixhuatlan del cafe;eduardo luis augusto velazquez solis;Typica;60;200;7.58;7.5;10;80.92;3.743252157
Thailand;thailand;doi tung development project;Other;2;200;7.33;7.42;10;81;3.686146929
Mexico;motozintla, chiapas;alejandro garcia palacios;Other;10;200;7.08;7.33;10;81;4.120914019
Mexico;adolfo lopez mateos;organizaciones de productores de cafe colimense;Typica;200;200;7.58;7.67;10;81;4.276383654
Mexico;san fernando;obed rendon ponce;Typica;100;200;7.25;7.33;10;81.08;3.907004773
Mexico;santo reyes nopala;diego manuel woolrich ramirez;Typica;30;200;7.33;7.42;10;81.08;4.036300543
Mexico;santa maria sitepec;gerardo hernandez valderrabano;Typica;40;200;7.33;7.42;10;81.08;4.091157053
Mexico;talpa de allende;balbino ramirez flores;Typica;15;200;7.42;7.42;10;81.08;4.295596542
Costa Rica;naranjo;the coffee source inc.;Caturra;250;200;7.42;7.25;10;81.08;3.911199143
Mexico;tapachula;julio perez hernandez;Typica;250;200;7.42;7.75;10;81.17;4.467426263
Guatemala;oriente;the coffee source inc.;Caturra;250;200;7.42;7.25;10;81.17;3.738097291
Brazil;monte carmelo;bourbon specialty coffees;Catuai;300;200;7.42;7.42;10;81.17;3.604904802
Costa Rica;central valley;eric thormaehlen;Catuai;250;200;7.33;7.25;10;81.17;3.775118077
Honduras;central region;nan;Catuai;275;200;7.42;7.42;10;81.17;3.632795997
Mexico;motozintla;alfredo bojalil;Typica;250;200;7.42;7.33;10;81.25;4.459249058
Honduras;marcala;cadexsa;Catuai;275;200;7.42;7.5;10;81.25;3.881944061
Mexico;tapachula;julio perez hernandez;Typica;250;200;7.58;7.33;10;81.33;4.167740113
Mexico;veracruz;hector gabriel barreda nader;Typica;70;200;7.33;7.42;10;81.33;3.666891822
Honduras;san marcos;mayra yessenia torres;Catuai;275;200;7.33;7.33;10;81.33;3.596273593
Honduras;marcala;cadexsa;Catuai;275;200;7.58;7.42;10;81.33;3.432596676
Mexico;huazalingo, hidalgo;saul m. hernandez ramirez;Caturra;10;200;7.42;7.17;10;81.42;3.554755543
Mexico;coatepec, coatepec;grupo cafetalero los brujos spr de rl;Typica;20;200;7.42;7.25;10;81.42;4.09536781
Honduras;marcala;cadexsa;Catuai;275;200;7.5;7.25;10;81.42;4.046446088
India;chikmagalur;andrew hetzel;Other;300;200;7.75;7.67;7.58;81.42;3.844443549
Mexico;amatenango de la frontera;alfredo bojalil;Typica;250;200;7.58;7.42;10;81.5;3.639473434
Mexico;temaxcalapa;jose luis munoz guerrero;Catuai;30;200;7.42;7.42;10;81.5;4.1122387
Mexico;manzanillo;jose luis munoz guerrero;Typica;20;200;7.33;7.33;10;81.5;4.256625616
Mexico;atoyac de alvarez;maria de la paz aguilar guillen;Typica;15;200;7.5;7.5;10;81.5;3.816129193
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.33;7.42;10;81.5;3.891587305
Mexico;la concordia, chiapas;alfredo bojalil;Typica;250;200;7.33;7.42;10;81.5;3.798075754
Costa Rica;occidental;santa laura exportadora de cafe s.l.e.c. s.a.;Caturra;250;200;7.83;7.08;10;81.5;4.350514405
Myanmar;ywar ngan township;genius coffee;Catuai;1;200;7.25;7.5;10;81.5;3.446525077
Mexico;la concordia;enrique eduardo lopez aguilar;Marigojipe;28;200;7.33;7.5;10;81.58;4.039714548
Mexico;la concordia;enrique eduardo lopez aguilar;Typica;28;200;7.67;7.58;8.67;81.58;3.641023534
Mexico;la concordia, chiapas;fredy gordillo reyes;Typica;310;200;7.67;7.5;10;81.58;3.510799391
Mexico;tuxtla gutierrez;virginia gordillo gordillo;Typica;100;200;7.25;7.67;10;81.67;3.790059036
Mexico;yajalon;jose luis munoz guerrero;Bourbon;15;200;7.67;7.75;10;81.67;3.545900444
Mexico;veracruz;christina dusing;Bourbon;275;200;7.5;7.42;10;81.67;4.062791525
Mexico;la concordia, chiapas;alfredo bojalil;Bourbon;250;200;7.58;7.58;10;81.67;3.420230543
Mexico;la concordia, chiapas;fredy gordillo reyes;Typica;310;200;7.5;7.58;10;81.67;3.875219554
Mexico;tenango de doria, hidalgo;saul m. hernandez ramirez;Bourbon;10;200;7.5;7.42;10;81.75;4.340151414
Mexico;tepictla;sergio landa alarcon;Mundo Novo;100;200;7.42;7.67;10;81.75;3.927348617
Mexico;oaxaca;diego manuel woolrich ramirez;Typica;42;200;7.42;7.58;10;81.75;4.307934008
Mexico;la concordia;armando luis pohlenz martinez;Caturra;250;200;7.33;7.67;10;81.75;3.685026612
Mexico;la concordia;enrique eduardo lopez aguilar;Typica;28;200;7.5;7.33;10;81.75;3.993291394
Mexico;veracruz;christina dusing;Bourbon;302;200;7.83;7.58;10;81.83;3.855690916
Mexico;coatepec;jorge francisco martinez hachity;Typica;15;200;7.33;7.5;10;81.83;3.680657854
Honduras;marcala;cadexsa;Catuai;275;200;7.5;7.5;10;81.83;3.97883882
